iata,latitude,longitude
ABE,40.6521,-75.4408
ABI,32.4113,-99.6819
ABQ,35.0402,-106.609
ABR,45.4491,-98.4218
ABY,31.5355,-84.1945
ACT,31.6113,-97.2305
ACV,40.9781,-124.109
ADQ,57.75,-152.494
AEX,31.3274,-92.5498
AGS,33.3699,-81.9645
AKN,58.6768,-156.649
ALB,42.7483,-73.8017
ALO,42.5571,-92.4003
ALW,46.0949,-118.288
AMA,35.2194,-101.706
ANC,61.1744,-149.996
APN,45.0781,-83.5603
ART,43.9919,-76.0217
ASE,39.2232,-106.869
ATL,33.6367,-84.4281
ATW,44.2581,-88.5191
AUS,30.1945,-97.6699
AVL,35.4362,-82.5418
AVP,41.3385,-75.7234
AZO,42.2349,-85.5521
BDL,41.9392,-72.6833
BET,60.7798,-161.838
BFF,41.874,-103.596
BFL,35.4336,-119.057
BGM,42.2087,-75.9798
BGR,44.8074,-68.8281
BHM,33.5629,-86.7535
BIL,45.8077,-108.543
BIS,46.7727,-100.746
BJI,47.5094,-94.9337
BLI,48.7928,-122.538
BMI,40.4771,-88.9159
BNA,36.1245,-86.6782
BOI,43.5644,-116.223
BOS,42.3643,-71.0052
BPT,29.9508,-94.0207
BQK,31.2588,-81.4665
BQN,18.4949,-67.1294
BRD,46.3983,-94.1381
BRO,25.9068,-97.4259
BRW,71.2854,-156.766
BTM,45.9548,-112.497
BTR,30.5332,-91.1496
BTV,44.4719,-73.1533
BUF,42.9405,-78.7322
BUR,34.2007,-118.359
BWI,39.1753,-76.6683
BZN,45.7775,-111.153
CAE,33.9388,-81.1195
CAK,40.9161,-81.4422
CDC,37.701,-113.099
CDV,60.4918,-145.478
CHA,35.0353,-85.2038
CHO,38.1386,-78.4529
CHS,32.8986,-80.0405
CID,41.8847,-91.7108
CIU,46.2508,-84.4724
CLE,41.4117,-81.8498
CLL,30.5886,-96.3638
CLT,35.214,-80.9431
CMH,39.998,-82.8919
CMI,40.0392,-88.2781
CMX,47.1684,-88.4891
COD,44.5202,-109.024
COS,38.8058,-104.701
COU,38.8181,-92.2196
CPR,42.908,-106.464
CRP,27.7704,-97.5012
CRW,38.3731,-81.5932
CVG,39.0488,-84.6678
CWA,44.7776,-89.6668
CYS,41.1557,-104.812
DAB,29.1799,-81.0581
DAL,32.8471,-96.8518
DAY,39.9024,-84.2194
DCA,38.8522,-77.0378
DDC,37.7634,-99.9656
DEN,39.8617,-104.673
DFW,32.8968,-97.038
DHN,31.3213,-85.4496
DIK,46.7974,-102.802
DLG,59.0447,-158.505
DLH,46.8421,-92.1936
DRO,37.1515,-107.754
DSM,41.534,-93.6631
DTW,42.2125,-83.3533
DVL,48.1142,-98.9088
EAT,47.3989,-120.207
ECP,30.3571,-85.7954
EGE,39.6426,-106.918
EKO,40.8249,-115.792
ELM,42.1599,-76.8916
ELP,31.8072,-106.378
ERI,42.0831,-80.1739
ESC,45.7227,-87.0937
EUG,44.1246,-123.212
EVV,38.037,-87.5324
EWN,35.073,-77.0429
EWR,40.6925,-74.1686
EYW,24.5561,-81.7596
FAI,64.8151,-147.856
FAR,46.9207,-96.8158
FAT,36.7762,-119.718
FAY,34.9912,-78.8803
FCA,48.3105,-114.256
FLG,35.1385,-111.671
FLL,26.0726,-80.1527
FLO,34.1854,-79.7239
FMY,26.5866,-81.8633
FNT,42.9654,-83.7436
FSD,43.582,-96.7419
FSM,35.3366,-94.3674
FWA,40.9785,-85.1951
FYV,36.0051,-94.1701
GCC,44.3489,-105.539
GCK,37.9275,-100.724
GEG,47.6199,-117.534
GFK,47.9493,-97.1761
GGG,32.384,-94.7115
GJT,39.1224,-108.527
GNV,29.6901,-82.2718
GPT,30.4073,-89.0701
GRB,44.4851,-88.1296
GRI,40.9675,-98.3096
GRK,31.0672,-97.8289
GRR,42.8808,-85.5228
GSO,36.0978,-79.9373
GSP,34.8957,-82.2189
GST,58.4253,-135.707
GTF,47.482,-111.371
GTR,33.4503,-88.5914
HAR,40.2171,-76.8515
HDN,40.4812,-107.218
HFD,41.7367,-72.6494
HHH,32.2244,-80.6975
HLN,46.6068,-111.983
HNL,21.3206,-157.924
HOB,32.6875,-103.217
HOU,29.6454,-95.2789
HPN,41.067,-73.7076
HRL,26.2285,-97.6544
HSV,34.6372,-86.7751
HTS,38.3667,-82.558
HVN,41.2637,-72.8868
HYS,38.8422,-99.2732
IAD,38.9445,-77.4558
IAH,29.9844,-95.3414
ICT,37.6499,-97.4331
IDA,43.5136,-112.071
ILE,31.0858,-97.6865
ILM,34.2706,-77.9026
IMT,45.8184,-88.1145
IND,39.7173,-86.2944
INL,48.5662,-93.4031
ISN,48.1779,-103.642
ISP,40.7952,-73.1002
ITH,42.491,-76.4584
ITO,19.7214,-155.048
JAC,43.6073,-110.738
JAN,32.3112,-90.0759
JAX,30.4941,-81.6879
JFK,40.6397,-73.7789
JLN,37.1518,-94.4983
JMS,46.9297,-98.6782
JNU,58.355,-134.576
JST,40.3161,-78.8339
KOA,19.7388,-156.046
KTN,55.3556,-131.714
LAN,42.7787,-84.5874
LAR,41.3121,-105.675
LAS,36.0801,-115.152
LAW,34.5677,-98.4166
LAX,33.9425,-118.408
LBB,33.6636,-101.823
LCH,30.1261,-93.2233
LEX,38.0365,-84.6059
LFT,30.2053,-91.9876
LGA,40.775,-73.875
LGB,33.8177,-118.152
LIH,21.976,-159.339
LIT,34.7294,-92.2243
LNK,40.851,-96.7592
LRD,27.5438,-99.4616
LSE,43.879,-91.2567
LWS,46.3745,-117.015
LYH,37.3267,-79.2004
MAF,31.9425,-102.202
MBS,43.5329,-84.0796
MCI,39.2976,-94.7139
MCO,28.4294,-81.309
MDT,40.1935,-76.7634
MDW,41.7861,-87.7525
MEI,32.3326,-88.7519
MEM,35.0424,-89.9767
MFE,26.1758,-98.2386
MFR,42.3742,-122.873
MGM,32.3006,-86.394
MGW,39.6429,-79.9163
MHK,39.141,-96.6708
MHT,42.9326,-71.4357
MIA,25.7932,-80.2906
MKC,39.1232,-94.5928
MKE,42.9472,-87.8966
MLB,28.1028,-80.6453
MLI,41.4485,-90.5075
MLU,32.5109,-92.0377
MOB,30.6912,-88.2428
MOT,48.2594,-101.28
MQT,46.3536,-87.3954
MRY,36.587,-121.843
MSN,43.1399,-89.3375
MSO,46.9163,-114.091
MSP,44.882,-93.2218
MSY,29.9934,-90.258
MTJ,38.5098,-107.894
MYR,33.6797,-78.9283
OAJ,34.8292,-77.6121
OAK,37.7213,-122.221
OGG,20.8986,-156.43
OKC,35.3931,-97.6007
OMA,41.3032,-95.8941
OME,64.5122,-165.445
ONT,34.056,-117.601
ORD,41.9786,-87.9047
ORF,36.8946,-76.2012
ORH,42.2673,-71.8757
ORL,28.5455,-81.3329
OTZ,66.8847,-162.599
PAE,47.9063,-122.282
PBI,26.6832,-80.0956
PDX,45.5887,-122.598
PGV,35.6352,-77.3853
PHF,37.1319,-76.493
PHL,39.8719,-75.2411
PHX,33.4343,-112.012
PIA,40.6642,-89.6933
PIB,31.4671,-89.3371
PIH,42.9098,-112.596
PIT,40.4915,-80.2329
PLN,45.5709,-84.7967
PNS,30.4734,-87.1866
PQI,46.689,-68.0448
PRC,34.6545,-112.42
PSC,46.2647,-119.119
PSG,56.8017,-132.945
PSP,33.8297,-116.507
PUW,46.7439,-117.11
PVD,41.7326,-71.4204
PVU,40.2192,-111.723
PWM,43.6462,-70.3093
RAP,44.0453,-103.057
RDD,40.509,-122.293
RDM,44.2541,-121.15
RDU,35.8776,-78.7875
RHI,45.6312,-89.4675
RIC,37.5052,-77.3197
RIW,43.0642,-108.46
RKS,41.5942,-109.065
RNO,39.4991,-119.768
ROA,37.3255,-79.9754
ROC,43.1189,-77.6724
ROW,33.3016,-104.531
RST,43.9083,-92.5
RSW,26.5362,-81.7552
SAC,38.5125,-121.493
SAF,35.6171,-106.089
SAN,32.7336,-117.19
SAT,29.5337,-98.4698
SAV,32.1276,-81.2021
SBA,34.4262,-119.84
SBN,41.7087,-86.3173
SBP,35.2368,-120.642
SBY,38.3405,-75.5103
SCC,70.1947,-148.465
SCE,40.8493,-77.8487
SDF,38.1744,-85.736
SEA,47.449,-122.309
SFO,37.619,-122.375
SGF,37.2457,-93.3886
SGU,37.0364,-113.51
SHR,44.7692,-106.98
SHV,32.4466,-93.8256
SIT,57.0471,-135.362
SJC,37.3626,-121.929
SJT,31.3577,-100.496
SLC,40.7884,-111.978
SLN,38.791,-97.6522
SMF,38.6954,-121.591
SNA,33.6757,-117.868
SPI,39.8441,-89.6779
SPS,33.9888,-98.4919
SRQ,27.3954,-82.5544
STL,38.7487,-90.37
STS,38.509,-122.813
SUN,43.5044,-114.296
SUX,42.4026,-96.3844
SWO,36.1612,-97.0857
SYR,43.1112,-76.1063
TLH,30.3965,-84.3503
TPA,27.9755,-82.5332
TRI,36.4752,-82.4074
TUL,36.1984,-95.8881
TUS,32.1161,-110.941
TVC,44.7414,-85.5822
TWF,42.4818,-114.488
TXK,33.4537,-93.991
TYR,32.3541,-95.4024
TYS,35.811,-83.994
UBS,33.4654,-88.3803
VLD,30.7825,-83.2767
VPS,30.4832,-86.5254
VRB,27.6556,-80.4179
WRG,56.4843,-132.37
XNA,36.2819,-94.3068
XWA,48.2597,-103.751
YAK,59.5033,-139.66
YKM,46.5682,-120.544
YUM,32.6566,-114.606
